fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,wine_type,quality
6.5,0.262,0.302,2.8,0.033,39.5,111.5,0.99156,3.35,0.65,11.56,white,7
6.5,0.33,0.28,6.1,0.018,41.0,103.0,0.99122,3.24,0.32,12.2,white,6
7.2,0.171,0.267,7.69,0.106,34.5,152.0,0.99464,3.16,0.41,10.55,white,8
6.1,0.37,0.357,4.45,0.025,17.5,103.5,0.99042,3.16,0.62,12.51,white,6
6.5,0.33,0.295,3.87,0.037,31.5,86.0,0.99028,3.25,0.63,12.53,white,7
6.3,0.259,0.308,4.6,0.033,15.0,67.0,0.99121,2.99,0.52,11.13,white,6
6.4,0.38,0.24,7.2,0.047,41.0,151.0,0.99604,3.11,0.6,9.2,white,5
8.5,0.564,0.229,2.43,0.083,5.5,21.0,0.99729,3.27,0.58,9.94,red,6
7.0,0.133,0.329,6.79,0.043,37.5,97.0,0.99442,3.16,0.38,10.06,white,8
8.4,0.778,0.471,5.03,0.051,25.0,156.0,0.99688,3.22,0.59,10.41,white,4
6.2,0.16,0.34,1.7,0.038,85.0,153.0,0.9909,3.33,0.86,12.0,white,7
6.6,0.272,0.336,5.59,0.045,20.0,89.0,0.99258,3.31,0.42,11.24,white,3
7.0,0.516,0.0,1.8,0.074,29.0,41.5,0.99481,3.37,0.63,11.11,red,6
7.9,0.4,0.246,4.34,0.043,138.5,271.5,0.99294,3.12,0.37,11.0,white,3
6.0,0.361,0.265,3.85,0.036,37.0,106.0,0.989,3.19,0.5,13.44,white,7
10.2,0.44,0.608,4.56,0.089,16.0,33.5,0.99773,3.27,0.96,12.0,red,7
7.4,0.311,0.282,8.88,0.026,53.0,150.5,0.99371,3.05,0.36,11.31,white,7
7.2,0.332,0.332,1.75,0.076,19.5,167.5,0.99439,3.15,0.48,9.55,white,5
7.0,0.151,0.28,14.68,0.051,29.0,149.0,0.99791,2.96,0.39,9.0,white,7
6.3,0.125,0.384,1.69,0.043,54.0,146.0,0.9911,3.21,0.73,11.31,white,7
7.0,0.2,0.395,7.72,0.027,22.0,89.5,0.99384,3.11,0.64,10.89,white,6
6.6,0.155,0.32,3.72,0.034,54.0,157.0,0.99127,3.27,0.67,12.24,white,8
11.2,0.66,0.24,2.5,0.085,16.0,53.0,0.9993,3.06,0.72,11.0,red,6
7.7,0.3,0.42,14.3,0.045,45.0,213.0,0.9991,3.18,0.63,9.2,white,5
6.4,0.406,0.396,4.97,0.023,30.0,129.5,0.99043,3.13,0.34,12.4,white,7
6.3,0.26,0.495,1.69,0.052,39.5,138.5,0.99253,3.01,0.61,9.8,white,6
7.2,0.08,0.49,1.3,0.05,18.0,148.0,0.9945,3.46,0.44,10.2,white,6
7.2,0.367,0.344,4.85,0.019,38.5,113.5,0.99033,3.08,0.49,12.8,white,7
6.4,0.204,0.311,2.17,0.047,39.5,194.5,0.99373,3.47,0.51,9.64,white,6
5.8,0.31,0.274,1.55,0.027,15.5,71.5,0.98996,3.38,0.4,11.84,white,8
7.2,0.25,0.19,8.0,0.044,51.0,172.0,0.9964,3.16,0.44,9.2,white,5
6.5,0.53,0.06,2.0,0.063,29.0,44.0,0.99489,3.38,0.83,10.3,red,6
6.4,0.236,0.49,6.16,0.032,30.0,123.5,0.99277,3.41,0.42,11.55,white,8
8.1,0.375,0.381,1.81,0.073,13.0,21.0,0.99436,3.23,0.7,11.83,red,8
7.7,0.278,0.428,14.76,0.047,46.0,207.5,0.99916,3.16,0.63,9.23,white,5
7.0,0.316,0.407,3.34,0.024,45.5,116.0,0.99003,3.32,0.39,12.79,white,9
6.8,0.287,0.502,9.97,0.054,41.0,196.5,0.99689,3.18,0.54,9.24,white,4
6.0,0.355,0.371,3.34,0.031,18.0,123.0,0.99103,3.38,0.4,11.44,white,7
6.3,0.171,0.4,1.6,0.038,23.5,93.5,0.9897,3.09,0.41,12.07,white,7
7.0,0.438,0.229,1.89,0.046,140.5,287.5,0.99294,3.31,0.43,10.65,white,3
7.4,0.563,0.114,9.73,0.095,22.5,180.5,0.99792,3.35,0.46,9.13,white,4
6.3,0.357,0.113,1.27,0.041,57.0,158.5,0.99154,3.08,0.49,10.39,white,5
6.1,0.155,0.323,1.59,0.041,33.5,104.5,0.98889,3.27,0.38,13.04,white,8
8.8,0.183,0.342,1.64,0.043,22.5,155.5,0.99488,3.18,0.41,9.53,white,4
7.7,0.168,0.413,3.56,0.042,68.0,159.0,0.9923,3.03,0.41,10.72,white,6
7.0,0.702,0.004,2.01,0.067,39.0,63.5,0.99783,3.59,0.8,9.9,red,5
7.3,0.338,0.572,2.43,0.072,22.0,48.0,0.9964,3.39,0.79,10.92,red,6
9.9,0.517,0.52,3.38,0.077,6.0,16.0,0.99688,3.29,0.69,12.5,red,8
7.0,0.166,0.333,10.42,0.043,23.0,98.0,0.99527,3.14,0.44,10.9,white,7
7.1,0.259,0.4,6.22,0.026,28.5,114.0,0.99174,3.04,0.33,11.95,white,8
6.5,0.37,0.3,2.2,0.033,39.0,107.0,0.98894,3.22,0.53,13.5,white,7
7.3,0.437,0.654,10.58,0.05,76.5,192.5,0.99762,3.11,0.44,8.7,white,5
8.0,0.235,0.313,1.36,0.041,13.0,106.0,0.99433,3.22,0.38,9.92,white,4
6.5,0.427,0.132,2.0,0.074,17.0,44.5,0.99563,3.32,0.61,9.32,red,5
7.6,0.269,0.32,1.19,0.042,23.5,73.0,0.99232,3.06,0.68,10.48,white,5
6.0,0.367,0.035,5.74,0.046,21.0,84.5,0.99344,3.22,0.5,10.17,white,5
5.7,0.41,0.21,1.9,0.048,30.0,112.0,0.99138,3.29,0.55,11.2,white,6
7.2,0.315,0.235,11.46,0.041,38.0,143.0,0.99618,3.12,0.43,9.96,white,5
7.8,0.345,0.49,8.8,0.033,40.5,183.5,0.99328,3.14,0.38,12.36,white,8
6.2,0.381,0.257,5.47,0.036,45.0,144.0,0.9919,3.26,0.44,11.38,white,7
6.7,0.413,0.276,3.76,0.039,24.0,132.0,0.99007,3.27,0.47,13.0,white,7
6.8,0.204,0.29,1.31,0.028,18.0,75.5,0.99083,3.11,0.43,11.17,white,6
6.7,0.328,0.352,4.64,0.033,8.5,138.0,0.9941,3.17,0.48,9.95,white,4
7.0,0.208,0.326,7.08,0.023,51.0,183.0,0.99361,3.25,0.37,11.12,white,8
6.5,0.438,0.367,1.28,0.023,29.0,84.5,0.98998,3.28,0.42,12.53,white,8
7.0,0.32,0.4,3.42,0.024,46.5,116.5,0.99,3.32,0.38,12.78,white,9
6.5,0.269,0.252,8.02,0.042,23.5,138.0,0.99604,3.42,0.63,9.82,white,6
10.7,0.266,0.471,2.13,0.082,9.5,30.5,0.99795,3.2,1.02,10.73,red,7
6.1,0.252,0.288,2.58,0.027,49.5,117.5,0.98992,3.38,0.64,12.82,white,8
7.6,0.592,0.136,2.5,0.086,9.5,23.0,0.99616,3.29,0.6,10.29,red,6
6.4,0.277,0.292,4.23,0.047,31.5,85.5,0.99031,3.23,0.58,12.66,white,8
6.1,0.314,0.303,1.82,0.033,41.0,132.5,0.98914,3.28,0.41,12.82,white,7
8.3,0.488,0.357,5.14,0.056,27.5,138.5,0.99564,3.23,0.39,9.61,white,3
6.9,0.224,0.322,5.61,0.041,19.5,121.5,0.99308,3.19,0.57,11.11,white,6
6.5,0.274,0.438,8.26,0.048,55.0,196.0,0.99555,3.16,0.48,9.46,white,5
7.8,0.251,0.271,5.81,0.042,202.5,318.0,0.99356,3.16,0.5,10.76,white,3
9.3,0.569,0.22,2.26,0.099,8.0,39.0,0.9976,3.28,0.55,9.67,red,4
5.8,0.2,0.249,14.21,0.046,48.0,118.0,0.99837,2.98,0.67,9.07,white,6
6.1,0.371,0.266,2.95,0.036,36.0,112.0,0.98843,3.16,0.45,13.78,white,7
6.2,0.272,0.385,12.71,0.042,63.5,229.5,0.99746,3.08,0.39,8.9,white,5
6.0,0.237,0.317,1.46,0.03,16.0,75.5,0.98892,3.15,0.5,12.65,white,7
7.7,0.27,0.34,1.81,0.028,26.0,168.0,0.99108,2.99,0.48,12.1,white,7
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,red,5
8.1,0.339,0.417,1.66,0.031,16.0,84.5,0.99117,3.22,0.33,12.43,white,3
8.0,0.309,0.38,6.66,0.029,26.0,107.0,0.99378,3.29,0.53,11.27,white,9
6.8,0.247,0.431,7.9,0.044,34.5,150.5,0.99502,3.16,0.6,10.28,white,7
6.1,0.176,0.198,6.14,0.05,26.0,130.0,0.99394,3.06,0.55,9.82,white,6
7.4,0.331,0.342,4.53,0.025,25.5,97.5,0.99203,3.34,0.56,11.75,white,9
7.1,0.914,0.041,1.98,0.066,16.0,38.0,0.99675,3.38,0.57,9.77,red,3
7.4,0.192,0.277,13.98,0.057,46.5,167.0,0.99827,2.98,0.42,8.82,white,8
6.8,0.281,0.449,11.4,0.041,58.0,224.0,0.99688,3.2,0.56,9.5,white,5
6.3,0.316,0.286,7.52,0.037,19.5,130.0,0.9939,3.11,0.41,10.29,white,4
7.7,0.181,0.513,1.19,0.041,41.5,163.5,0.99079,3.08,0.44,11.83,white,5
6.2,0.319,0.29,2.88,0.035,25.5,106.5,0.9906,3.26,0.69,12.3,white,8
6.8,0.299,0.314,8.04,0.029,33.5,105.0,0.99138,2.99,0.36,12.15,white,7
8.0,0.29,0.29,13.2,0.046,26.0,113.0,0.9983,3.25,0.37,9.7,white,6
6.1,0.217,0.329,2.92,0.039,46.0,125.0,0.99085,3.17,0.45,11.31,white,7
11.3,0.399,0.554,2.92,0.121,24.0,70.5,1.00017,3.14,0.99,9.26,red,5
6.4,0.3,0.38,7.8,0.046,35.0,192.0,0.9955,3.1,0.37,9.0,white,5
11.3,0.498,0.677,3.9,0.115,6.0,16.0,0.99801,3.04,0.8,11.64,red,7
6.4,0.324,0.223,13.11,0.056,41.5,174.5,0.99771,3.12,0.47,8.98,white,4
6.3,0.219,0.312,6.62,0.041,67.0,206.5,0.99498,3.29,0.51,9.85,white,3
6.5,0.168,0.325,2.1,0.028,31.0,92.5,0.99084,3.3,0.63,11.94,white,7
7.9,0.324,0.44,6.1,0.029,47.5,129.0,0.99121,2.98,0.37,12.36,white,6
8.1,0.99,0.02,3.18,0.083,6.0,11.5,0.99858,3.49,0.51,10.87,red,3
7.0,0.229,0.275,10.14,0.04,27.5,113.5,0.99368,3.07,0.49,11.23,white,7
6.7,0.343,0.284,12.17,0.044,26.5,107.5,0.99338,3.04,0.31,11.86,white,8
8.0,0.53,0.228,2.12,0.076,26.0,95.0,0.99648,3.26,0.49,9.52,red,6
7.0,0.237,0.241,3.14,0.045,55.0,170.5,0.99408,3.33,0.67,10.5,white,6
5.9,0.342,0.315,1.64,0.032,38.0,103.0,0.98937,3.43,0.54,12.64,white,7
6.9,0.151,0.282,4.4,0.029,14.0,107.5,0.99346,3.24,0.46,10.4,white,8
9.1,0.295,0.371,2.02,0.065,11.5,25.5,0.99518,3.26,0.85,11.7,red,7
5.4,0.324,0.293,2.95,0.025,43.0,130.5,0.98842,3.24,0.58,13.44,white,8
7.0,0.26,0.34,10.9,0.038,25.0,84.0,0.99432,3.11,0.34,10.9,white,6
7.3,0.692,0.0,2.44,0.075,4.0,14.0,0.9979,3.49,0.52,9.21,red,5
7.6,0.304,0.373,7.69,0.035,9.5,121.0,0.99306,3.1,0.38,12.0,white,7
6.5,0.181,0.321,1.01,0.041,31.0,134.0,0.99356,3.41,0.42,9.31,white,6
6.3,0.272,0.393,6.46,0.033,9.5,92.5,0.99225,3.42,0.42,11.63,white,3
7.0,0.324,0.395,3.47,0.023,47.5,117.0,0.98995,3.31,0.38,12.78,white,9
7.1,0.26,0.47,18.94,0.054,48.0,252.5,1.00015,3.03,0.53,8.84,white,5
7.0,0.222,0.28,8.42,0.048,23.0,90.0,0.99545,3.27,0.49,9.72,white,6
6.8,0.362,0.236,3.16,0.046,13.5,117.0,0.99259,3.01,0.31,10.27,white,4
6.6,0.207,0.345,5.67,0.041,23.0,113.0,0.99377,3.31,0.54,10.56,white,7
8.0,0.489,0.411,12.46,0.189,33.0,201.0,0.99896,3.03,0.6,9.25,white,5
6.8,0.328,0.296,1.71,0.052,38.0,194.5,0.99286,3.23,0.6,10.19,white,5
6.4,0.27,0.569,1.0,0.061,18.0,120.5,0.99239,3.03,0.4,9.5,white,5
8.0,0.366,0.49,9.04,0.033,40.5,173.0,0.99336,3.14,0.35,12.39,white,8
6.6,0.162,0.293,1.35,0.041,16.5,119.0,0.99324,3.32,0.6,9.76,white,6
6.9,0.266,0.264,8.22,0.045,17.0,128.5,0.99425,3.0,0.38,10.55,white,5
8.2,0.28,0.362,2.48,0.075,16.5,45.0,0.99532,3.36,0.78,11.81,red,7
6.4,0.237,0.233,17.42,0.047,38.5,116.0,0.99904,3.09,0.46,8.82,white,6
6.9,0.423,0.237,5.59,0.035,29.0,108.5,0.99035,3.13,0.5,13.03,white,7
5.6,0.85,0.05,1.4,0.045,12.0,88.0,0.9924,3.56,0.82,12.9,red,8
6.1,0.29,0.447,12.17,0.044,55.5,201.0,0.99678,3.22,0.56,9.57,white,6
6.9,0.842,0.031,1.89,0.072,11.0,25.5,0.9964,3.46,0.6,9.86,red,3
7.5,0.359,0.26,8.9,0.063,31.0,173.0,0.99546,3.08,0.44,10.47,white,6
9.2,0.592,0.241,3.29,0.1,20.5,48.5,0.99883,3.26,0.67,9.61,red,5
7.3,0.189,0.27,13.9,0.057,45.0,155.0,0.99808,2.94,0.41,8.8,white,8
7.5,0.569,0.019,2.6,0.077,11.0,35.0,0.99557,3.36,0.62,10.8,red,6
7.2,0.477,0.177,1.82,0.082,22.5,44.5,0.99641,3.49,0.66,10.44,red,5
6.6,0.126,0.275,8.87,0.044,42.0,102.5,0.99475,3.18,0.37,9.72,white,6
6.6,0.238,0.298,13.22,0.053,19.5,143.0,0.99814,3.36,0.5,9.52,white,6
7.7,0.16,0.36,5.9,0.054,25.0,148.0,0.99578,3.25,0.54,10.2,white,6
7.2,0.177,0.301,1.98,0.041,13.5,138.5,0.99224,3.2,0.45,11.11,white,7
6.7,0.402,0.223,4.48,0.037,19.0,98.5,0.99031,3.22,0.54,13.05,white,7
6.7,0.542,0.034,2.09,0.068,6.5,17.0,0.99598,3.41,0.65,9.42,red,6
6.9,0.288,0.389,1.64,0.044,12.5,131.0,0.99251,3.16,0.67,11.68,white,6
8.3,0.373,0.318,2.31,0.073,12.5,45.5,0.99583,3.25,0.82,11.02,red,6
6.9,0.362,0.334,3.88,0.018,53.0,115.0,0.98978,3.3,0.39,12.66,white,9
8.2,0.38,0.49,13.6,0.042,58.0,166.0,0.99855,3.1,0.54,9.4,white,5
7.7,0.42,0.327,2.28,0.336,11.5,31.0,0.99684,3.14,0.97,9.96,red,6
6.2,0.66,0.48,1.23,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,white,8
8.2,0.526,0.245,3.29,0.079,16.5,109.5,0.99746,3.26,0.62,9.41,red,5
7.0,0.25,0.319,9.57,0.044,60.5,258.0,0.99615,3.21,0.51,9.8,white,6
7.1,0.476,0.183,4.62,0.048,13.5,125.0,0.99397,3.11,0.5,9.69,white,5
6.2,0.207,0.291,1.61,0.039,23.0,91.0,0.99123,3.28,0.49,11.21,white,6
6.9,0.234,0.285,8.22,0.042,38.5,200.5,0.99507,3.24,0.55,10.4,white,6
7.7,1.131,0.007,3.97,0.093,5.5,13.5,0.99737,3.58,0.52,10.79,red,3
7.2,0.996,0.032,5.1,0.088,4.0,14.0,0.99748,3.49,0.53,10.4,red,3
6.3,0.272,0.462,11.61,0.038,61.0,206.0,0.99685,3.22,0.53,9.49,white,6
6.8,0.287,0.263,3.89,0.04,23.0,125.5,0.99441,3.17,0.5,9.38,white,6
7.4,0.358,0.327,2.34,0.069,9.0,27.0,0.99459,3.36,0.59,11.9,red,6
9.3,0.825,0.376,1.78,0.053,27.5,165.0,0.99614,3.15,0.55,10.29,white,4
8.1,0.265,0.469,6.53,0.033,29.5,118.5,0.99376,3.28,0.44,11.62,white,9
5.0,0.2,0.364,2.75,0.035,33.5,118.0,0.98895,3.45,0.38,12.94,white,8
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,red,5
7.2,0.331,0.328,1.68,0.062,3.5,13.5,0.99591,3.23,1.08,10.07,red,8
6.2,0.569,0.104,1.07,0.039,6.5,38.5,0.99175,3.2,0.36,10.51,white,4
6.7,0.32,0.279,2.71,0.037,29.5,89.0,0.98926,3.09,0.37,12.62,white,7
8.6,0.562,0.336,1.7,0.061,64.5,216.0,0.99558,3.23,0.38,9.18,white,3
7.7,0.31,0.26,7.8,0.031,23.0,90.0,0.9944,3.13,0.5,10.4,white,5
6.9,0.26,0.38,10.5,0.044,33.0,139.0,0.99517,3.06,0.5,10.3,white,6
7.5,1.405,0.0,3.05,0.119,5.0,11.5,0.99558,3.56,0.46,10.81,red,3
7.0,0.284,0.443,2.02,0.03,29.0,106.5,0.99016,3.38,0.46,12.78,white,9
4.9,0.446,0.058,1.83,0.051,23.5,73.5,0.99155,3.75,0.71,13.66,red,6
6.4,0.301,0.238,6.01,0.039,35.5,142.0,0.99456,3.21,0.66,9.86,white,6
7.1,0.199,0.31,7.22,0.052,31.0,211.5,0.9959,3.3,0.58,10.4,white,6
7.1,0.34,0.241,14.62,0.053,48.0,200.0,0.99852,3.11,0.49,8.79,white,5
5.6,0.249,0.275,7.56,0.051,26.0,91.5,0.99393,3.18,0.39,10.55,white,6
5.4,0.323,0.292,3.0,0.025,43.0,129.5,0.98848,3.23,0.58,13.42,white,8
6.2,0.23,0.361,17.26,0.039,37.0,129.5,0.99947,3.23,0.43,8.8,white,6
6.3,0.27,0.25,5.8,0.038,52.0,155.0,0.99502,3.28,0.38,9.4,white,6
6.5,0.297,0.297,4.64,0.037,36.0,99.5,0.9905,3.18,0.6,12.59,white,8
8.6,0.319,0.43,6.92,0.026,9.0,94.0,0.99211,2.98,0.4,12.45,white,7
6.8,0.293,0.307,2.84,0.037,32.0,114.0,0.98979,3.14,0.33,12.5,white,6
6.5,0.286,0.299,2.21,0.034,30.5,118.0,0.98951,3.12,0.36,12.63,white,6
7.7,0.183,0.425,12.92,0.045,43.5,158.0,0.9998,3.22,0.7,8.58,white,8
7.9,0.243,0.407,1.06,0.042,16.0,111.0,0.99197,3.14,0.41,11.14,white,4
6.4,0.592,0.004,1.73,0.071,8.0,20.5,0.99694,3.61,0.8,9.83,red,5
7.9,0.348,0.415,2.21,0.03,14.0,73.0,0.99123,3.23,0.34,12.45,white,3
6.9,0.36,0.342,9.15,0.04,36.5,128.0,0.99217,3.03,0.32,12.15,white,8
5.8,0.296,0.29,3.22,0.032,20.0,85.0,0.99067,3.31,0.4,11.48,white,7
6.6,0.15,0.34,1.0,0.037,45.0,79.0,0.98949,2.96,0.5,11.7,white,6
8.2,0.281,0.379,8.62,0.04,43.0,193.5,0.99782,3.28,0.51,9.42,white,6
5.1,0.222,0.447,5.15,0.029,30.0,123.0,0.99102,3.49,0.36,12.0,white,8
6.5,0.9,0.0,1.6,0.052,9.0,17.0,0.99467,3.5,0.63,10.9,red,6
7.0,0.282,0.311,2.23,0.036,30.5,122.5,0.99276,3.24,0.45,11.0,white,6
6.3,0.386,0.483,8.32,0.052,54.0,193.0,0.99526,3.19,0.49,9.64,white,6
5.2,0.555,0.029,1.83,0.045,14.5,86.5,0.99243,3.55,0.92,13.09,red,7
6.2,0.245,0.393,1.28,0.036,42.5,120.5,0.99044,3.03,0.64,11.62,white,6
6.8,0.22,0.282,18.21,0.043,40.5,144.5,1.00008,3.3,0.37,8.7,white,5
7.0,0.218,0.298,1.81,0.039,29.5,108.5,0.99209,3.31,0.56,10.87,white,8
7.3,0.3,0.25,2.5,0.045,32.0,122.0,0.99329,3.18,0.54,10.3,white,5
7.1,0.15,0.34,1.0,0.033,27.0,73.0,0.98974,3.24,0.41,12.2,white,6
6.9,0.249,0.254,19.45,0.084,34.0,149.5,1.00035,3.17,0.45,8.98,white,5
6.5,0.309,0.337,2.06,0.032,34.0,102.0,0.98978,3.16,0.55,12.33,white,8
7.0,0.36,0.364,7.42,0.029,10.0,39.5,0.99244,3.28,0.38,12.11,white,3
7.1,0.139,0.448,1.35,0.042,47.0,110.5,0.99112,2.99,0.45,11.15,white,5
7.3,0.158,0.296,13.81,0.055,32.0,164.0,0.9982,2.91,0.43,8.77,white,7
6.8,0.274,0.321,3.29,0.035,35.5,97.5,0.99054,3.27,0.59,12.67,white,8
7.4,0.307,0.399,8.01,0.046,43.0,227.5,0.99666,3.12,0.49,8.99,white,5
7.3,0.19,0.553,3.37,0.04,7.0,116.0,0.99294,2.96,0.61,10.58,white,4
13.3,0.353,0.521,3.11,0.092,16.5,50.5,1.00131,3.06,0.78,9.44,red,6
6.8,0.309,0.371,6.8,0.043,42.5,184.0,0.99533,3.14,0.53,9.75,white,5
5.7,0.269,0.3,1.83,0.037,32.0,113.5,0.98972,3.46,0.5,12.59,white,7
6.2,0.27,0.18,1.5,0.028,20.0,111.0,0.99228,3.41,0.5,10.0,white,5
6.2,0.389,0.24,4.8,0.037,45.0,138.0,0.99176,3.23,0.43,11.2,white,7
6.6,0.192,0.398,14.41,0.044,50.5,145.0,0.99757,3.31,0.75,10.05,white,7
6.2,0.23,0.413,10.89,0.039,44.5,129.0,0.99416,3.05,0.34,10.96,white,8
10.4,0.336,0.622,3.08,0.085,5.0,22.0,0.99971,3.26,0.75,11.24,red,7
6.2,0.373,0.296,3.12,0.025,26.0,93.5,0.99003,3.25,0.38,12.76,white,8
7.7,0.289,0.449,1.7,0.05,28.0,157.0,0.99398,3.14,0.56,10.02,white,5
6.8,0.184,0.672,10.93,0.041,26.0,126.5,0.99381,3.3,0.37,11.95,white,8
7.3,0.26,0.33,11.8,0.057,48.0,127.0,0.99693,3.1,0.55,10.0,white,6
6.1,0.28,0.32,2.5,0.042,23.0,218.5,0.9935,3.27,0.6,9.8,white,5
7.7,0.188,0.4,13.22,0.047,45.5,169.0,0.99963,3.2,0.65,8.65,white,8
5.6,0.19,0.47,4.5,0.03,19.0,112.0,0.9922,3.56,0.45,11.2,white,6
9.1,0.338,0.309,10.75,0.043,96.0,258.5,0.99591,2.94,0.46,11.01,white,3
8.6,0.287,0.42,8.96,0.032,27.5,116.5,0.99563,3.24,0.49,10.76,white,9
8.1,0.261,0.307,1.73,0.037,5.0,28.0,0.99152,3.03,0.37,10.94,white,4
6.3,0.27,0.23,2.9,0.047,13.0,100.0,0.9936,3.28,0.43,9.8,white,5
6.0,0.225,0.29,12.93,0.053,57.5,164.5,0.99733,3.29,0.41,9.3,white,5
6.9,0.21,0.33,1.8,0.034,48.0,136.0,0.9899,3.25,0.41,12.6,white,7
6.5,0.427,0.318,6.2,0.04,8.5,160.0,0.99468,3.17,0.45,9.64,white,4
6.4,0.209,0.354,1.66,0.027,34.5,108.5,0.98945,3.22,0.74,12.65,white,6
7.7,0.574,0.12,2.29,0.104,8.5,17.0,0.99523,3.26,0.58,10.79,red,6
7.0,0.849,0.0,2.08,0.166,4.5,11.5,0.99593,3.44,0.52,10.23,red,5
6.7,0.232,0.273,18.86,0.042,40.5,145.5,1.00012,3.25,0.37,8.7,white,5
7.4,1.001,0.065,2.62,0.102,8.5,22.5,0.99593,3.35,0.47,9.99,red,5
7.4,0.16,0.49,1.2,0.055,18.0,150.0,0.9917,3.23,0.47,11.2,white,6
